Documento,Pos.,Denominación,Fecha doc.,Ctd.conf.,Nº ped.cliente,Fe.entrega,Solic.,Ctd.ped., Prc.neto,   por,UM, Valor neto, Valor neto,Se,Ctd.ped.
7294423,50,Ciroc 750ml 06x01,04.05.2010,12,TUCAN0510,12.05.2010,6023207,12,220.97,1,BTL,"72,378.78","2,651.64",32,12
7294423,60,J Wlkr Green 700ml   06x01,04.05.2010,60,TUCAN0510,12.05.2010,6023207,60,341.27,1,BTL,"72,378.78","20,476.20",32,60
7293905,10,JWlkr Red 750ml MIDAS C/IBC 12x01,04.05.2010,600,825452/27536,09.05.2010,185343,600,92.23,1,BTL,0,"55,339.20",32,600
7293905,20,GUINNESS BTL DR 330ML BTL 01x24,04.05.2010,0,825452/27536,09.05.2010,185343,96,10.22,1,BTL,0,981.5,31,96
7293905,30,Guinness Lata DR 440ml 24x01,04.05.2010,0,825452/27536,09.05.2010,185343,72,13.68,1,BTL,0,984.96,31,72
7293903,10,ZACAPA CENTENARIO 15 750ML 06x01,04.05.2010,0,3135/PR0000100,03.05.2010,6023873,60,212.51,1,BTL,"22,988.70","12,750.60",32,60
7293903,10,ZACAPA CENTENARIO 15 750ML 06x01,04.05.2010,60,3135/PR0000100,07.05.2010,6023873,60,212.51,1,BTL,"22,988.70","12,750.60",32,0
7293903,20,J Wlkr Green 700ml   06x01,04.05.2010,0,3135/PR0000100,03.05.2010,6023873,30,341.27,1,BTL,"22,988.70","10,238.10",32,30
7293903,20,J Wlkr Green 700ml   06x01,04.05.2010,30,3135/PR0000100,07.05.2010,6023873,30,341.27,1,BTL,"22,988.70","10,238.10",32,0
7293901,10,BAILEYS ORIGINAL 750ML 12x01,04.05.2010,360,3116/PR0000100,07.05.2010,6023296,360,124.32,1,BTL,"297,723.84","44,755.20",32,0
7293901,10,BAILEYS ORIGINAL 750ML 12x01,04.05.2010,0,3116/PR0000100,03.05.2010,6023296,360,124.32,1,BTL,"297,723.84","44,755.20",32,360
7293901,20,J&B Rare 750ml no IBC 12x01,04.05.2010,672,3116/PR0000100,07.05.2010,6023296,672,104.62,1,BTL,"297,723.84","70,304.64",32,0
7293901,20,J&B Rare 750ml no IBC 12x01,04.05.2010,0,3116/PR0000100,03.05.2010,6023296,672,104.62,1,BTL,"297,723.84","70,304.64",32,672
7293901,30,Buchanan Deluxe 750ml   12x01,04.05.2010,720,3116/PR0000100,07.05.2010,6023296,720,253.7,1,BTL,"297,723.84","182,664.00",32,0
